Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2025,11,allenj3,Josh Allen,QB,BUF,TB,16.4,17,21.3,21.2,33.2,246.3,1.7,0.7,6.2,32.0,0.5,0.0,0.0,0.0,11.9,2.1,0.0,0.2,0.0,0.0,A-Game
2025,11,mayed1,Drake Maye,QB,NE,NYJ,20.0,26,20.6,20.3,28.5,238.8,2.0,0.5,4.5,27.9,0.3,0.0,0.0,0.0,11.5,1.8,0.0,0.2,0.0,0.0,A-Game
2025,11,hurtsj1,Jalen Hurts,QB,PHI,DET,17.7,19,20.2,18.1,26.6,204.5,1.8,0.5,7.3,30.7,0.5,0.0,0.0,0.0,9.9,2.0,0.0,0.2,0.0,0.0,A-Game
2025,11,herbej1,Justin Herbert,QB,LAC,@JAX,21.8,30,20.2,23.2,35.1,251.1,1.9,0.6,6.0,34.6,0.1,0.0,0.0,0.0,12.3,2.3,0.0,0.2,0.0,0.0,A-Game
2025,11,jacksl1,Lamar Jackson,QB,BAL,@CLE,13.8,5,19.6,17.8,26.0,207.3,1.7,0.5,7.1,43.8,0.3,0.0,0.0,0.0,10.0,2.8,0.0,0.2,0.0,0.0,A-Game
2025,11,mahomp1,Patrick Mahomes,QB,KC,@DEN,11.7,2,19.1,23.9,36.1,258.3,1.7,0.7,5.4,30.2,0.1,0.0,0.0,0.0,12.7,2.0,0.0,0.2,0.0,0.0,A-Game
2025,11,prescd1,Dak Prescott,QB,DAL,@LV,14.4,9,18.1,24.0,37.1,264.9,1.8,0.7,2.4,10.3,0.2,0.0,0.0,0.0,13.0,0.7,0.0,0.2,0.0,0.0,A-Game
2025,11,staffm1,Matthew Stafford,QB,LAR,SEA,16.9,18,17.7,23.7,35.5,261.7,2.2,0.7,0.7,2.1,0.0,0.0,0.0,0.0,12.8,0.1,0.0,0.2,0.0,0.0,A-Game
2025,11,willic6,Caleb Williams,QB,CHI,@MIN,16.4,16,17.6,20.5,32.5,223.0,1.6,0.6,4.1,27.0,0.2,0.0,0.0,0.0,11.0,1.8,0.0,0.2,0.0,0.0,A-Game
2025,11,flaccj1,Joe Flacco,QB,CIN,@PIT,20.2,27,16.7,25.6,39.2,260.0,1.9,0.8,1.3,3.7,0.1,0.0,0.0,0.0,13.0,0.2,0.0,0.2,0.0,0.0,A-Game
2025,11,mayfib1,Baker Mayfield,QB,TB,@BUF,14.1,8,16.7,22.8,35.2,237.4,1.7,0.8,3.2,19.1,0.1,0.0,0.0,0.0,11.8,1.2,0.0,0.2,0.0,0.0,A-Game
2025,11,lovej1,Jordan Love,QB,GB,@NYG,19.2,24,16.5,20.9,31.1,234.0,1.7,0.6,3.5,14.7,0.1,0.0,0.0,0.0,11.4,1.0,0.0,0.2,0.0,0.0,A-Game
2025,11,brissj1,Jacoby Brissett,QB,ARI,SF,18.5,22,16.4,21.8,34.5,213.4,1.7,0.7,5.5,20.1,0.2,0.0,0.0,0.0,10.8,1.3,0.0,0.2,0.0,0.0,B-Game
2025,11,mccarj2,J.J. McCarthy,QB,MIN,CHI,21.3,29,16.4,21.7,33.4,214.0,1.5,1.0,5.9,29.6,0.2,0.0,0.0,0.0,10.8,1.9,0.0,0.2,0.0,0.0,B-Game
2025,11,mariom1,Marcus Mariota,QB,WAS,@MIA,19.1,23,16.1,18.3,27.3,199.6,1.4,0.7,4.4,27.2,0.3,0.0,0.0,0.0,9.8,1.8,0.0,0.2,0.0,0.0,B-Game
2025,11,rodgea1,Aaron Rodgers,QB,PIT,CIN,22.5,31,16.1,22.7,32.1,230.3,2.0,0.6,0.8,2.5,0.0,0.0,0.0,0.0,11.5,0.2,0.0,0.2,0.0,0.0,B-Game
2025,11,darnos1,Sam Darnold,QB,SEA,@LAR,16.0,15,15.9,20.5,30.0,248.9,1.7,0.7,2.4,7.8,0.1,0.0,0.0,0.0,11.9,0.5,0.0,0.2,0.0,0.0,B-Game
2025,11,smithg1,Geno Smith,QB,LV,DAL,24.9,32,15.8,21.9,33.3,248.9,1.6,0.7,2.5,10.6,0.0,0.0,0.0,0.0,12.1,0.7,0.0,0.2,0.0,0.0,B-Game
2025,11,tagovt1,Tua Tagovailoa,QB,MIA,WAS,20.8,28,15.8,22.0,31.5,231.8,2.0,0.9,1.8,5.6,0.0,0.0,0.0,0.0,11.5,0.4,0.0,0.2,0.0,0.0,B-Game
2025,11,nixb1,Bo Nix,QB,DEN,KC,13.9,6,15.5,22.0,34.3,217.1,1.4,0.8,4.6,20.9,0.2,0.0,0.0,0.0,11.0,1.4,0.0,0.2,0.0,0.0,B-Game
2025,11,jonesm5,Mac Jones,QB,SF,@ARI,15.7,13,15.2,24.4,36.7,241.4,1.7,0.8,1.5,5.2,0.1,0.0,0.0,0.0,12.2,0.3,0.0,0.2,0.0,0.0,B-Game
2025,11,goffj1,Jared Goff,QB,DET,@PHI,13.2,3,15.1,21.9,33.6,242.9,1.7,0.6,0.9,2.5,0.0,0.0,0.0,0.0,11.9,0.2,0.0,0.2,0.0,0.0,B-Game
2025,11,millsd1,Davis Mills,QB,HOU,@TEN,15.8,14,15.0,20.9,32.9,227.4,1.5,0.6,1.7,7.1,0.1,0.0,0.0,0.0,11.2,0.5,0.0,0.2,0.0,0.0,B-Game
2025,11,penixm1,Michael Penix Jr.,QB,ATL,CAR,15.4,12,14.9,19.6,32.2,225.6,1.5,0.6,2.7,8.1,0.1,0.0,0.0,0.0,10.9,0.5,0.0,0.2,0.0,0.0,B-Game
2025,11,lawret1,Trevor Lawrence,QB,JAX,LAC,13.4,4,14.3,19.8,32.2,210.6,1.2,0.8,3.2,14.8,0.3,0.0,0.0,0.0,10.4,1.0,0.0,0.2,0.0,0.0,B-Game
2025,11,winstj1,Jameis Winston,QB,NYG,GB,15.4,11,12.9,21.2,34.7,234.3,1.2,1.0,3.4,11.0,0.1,0.0,0.0,0.0,11.5,0.7,0.0,0.3,0.0,0.0,C-Game
2025,11,fieldj1,Justin Fields,QB,NYJ,@NE,19.9,25,12.8,15.6,27.4,164.0,0.7,0.9,7.8,35.6,0.4,0.0,0.0,0.0,8.1,2.3,0.0,0.3,0.0,0.0,C-Game
2025,11,youngb1,Bryce Young,QB,CAR,@ATL,14.0,7,11.4,17.4,29.5,188.3,1.0,0.7,1.8,8.9,0.1,0.0,0.0,0.0,9.3,0.6,0.0,0.2,0.0,0.0,C-Game
2025,11,gabrid1,Dillon Gabriel,QB,CLE,BAL,17.8,20,11.3,19.3,31.7,196.4,1.0,0.8,2.7,14.0,0.0,0.0,0.0,0.0,9.8,0.9,0.0,0.2,0.0,0.0,C-Game
2025,11,wardc1,Cam Ward,QB,TEN,HOU,11.1,1,10.9,18.3,29.6,191.9,1.0,0.8,1.4,5.8,0.1,0.0,0.0,0.0,9.5,0.4,0.0,0.3,0.0,0.0,C-Game
2025,11,mccafc1,Christian McCaffrey,RB,SF,@ARI,17.6,19,22.9,0.0,0.0,0.0,0.0,0.0,16.9,68.9,0.7,6.5,64.0,0.4,0.0,3.4,2.9,0.1,0.0,0.0,A-Game
2025,11,achand1,De'Von Achane,RB,MIA,WAS,19.6,25,22.4,0.0,0.0,0.0,0.0,0.0,18.4,92.1,0.7,5.6,38.2,0.5,0.0,4.6,1.8,0.1,0.0,0.0,A-Game
2025,11,robinb2,Bijan Robinson,RB,ATL,CAR,17.0,14,18.9,0.0,0.0,0.0,0.0,0.0,16.6,82.7,0.2,4.7,53.0,0.3,0.0,4.1,2.4,0.1,0.0,0.0,A-Game
2025,11,jacobj1,Josh Jacobs,RB,GB,@NYG,23.8,31,18.1,0.0,0.0,0.0,0.0,0.0,17.8,78.9,0.9,3.0,25.7,0.1,0.0,4.0,1.2,0.1,0.0,0.0,A-Game
2025,11,jeanta1,Ashton Jeanty,RB,LV,DAL,22.4,29,17.0,0.0,0.0,0.0,0.0,0.0,18.5,67.1,0.8,3.5,31.1,0.2,0.0,3.4,1.4,0.1,0.0,0.0,A-Game
2025,11,gibbsj1,Jahmyr Gibbs,RB,DET,@PHI,19.5,24,16.7,0.0,0.0,0.0,0.0,0.0,15.8,82.3,0.5,3.4,24.3,0.2,0.0,4.1,1.1,0.1,0.0,0.0,A-Game
2025,11,willij13,Javonte Williams,RB,DAL,@LV,17.0,16,16.1,0.0,0.0,0.0,0.0,0.0,17.1,78.7,0.9,2.8,11.9,0.1,0.0,3.9,0.6,0.1,0.0,0.0,A-Game
2025,11,dowdlr1,Rico Dowdle,RB,CAR,@ATL,20.8,27,16.0,0.0,0.0,0.0,0.0,0.0,20.0,93.4,0.6,2.3,16.0,0.1,0.0,4.7,0.7,0.2,0.0,0.0,A-Game
2025,11,henryd1,Derrick Henry,RB,BAL,@CLE,11.4,2,15.5,0.0,0.0,0.0,0.0,0.0,17.6,92.5,0.8,1.0,6.2,0.1,0.0,4.6,0.3,0.1,0.0,0.0,A-Game
2025,11,warrej1,Jaylen Warren,RB,PIT,CIN,28.6,32,15.3,0.0,0.0,0.0,0.0,0.0,17.6,69.2,0.5,3.2,29.9,0.1,0.0,3.5,1.4,0.1,0.0,0.0,A-Game
2025,11,cookj3,James Cook,RB,BUF,TB,18.4,21,15.3,0.0,0.0,0.0,0.0,0.0,18.5,94.5,0.5,2.0,14.8,0.1,0.0,4.7,0.7,0.1,0.0,0.0,A-Game
2025,11,barkls1,Saquon Barkley,RB,PHI,DET,12.8,4,14.3,0.0,0.0,0.0,0.0,0.0,14.0,76.3,0.4,2.9,16.4,0.2,0.0,3.8,0.8,0.1,0.0,0.0,A-Game
2025,11,brownc4,Chase Brown,RB,CIN,@PIT,14.7,7,13.6,0.0,0.0,0.0,0.0,0.0,16.2,66.6,0.4,4.1,23.4,0.1,0.0,3.3,1.1,0.1,0.0,0.0,B-Game
2025,11,hendet1,TreVeyon Henderson,RB,NE,NYJ,18.8,22,13.5,0.0,0.0,0.0,0.0,0.0,17.6,69.7,0.4,2.9,22.7,0.1,0.0,3.5,1.0,0.1,0.0,0.0,B-Game
2025,11,willik6,Kyren Williams,RB,LAR,SEA,15.8,11,13.4,0.0,0.0,0.0,0.0,0.0,14.4,61.1,0.4,2.5,19.6,0.3,0.0,3.1,0.9,0.1,0.0,0.0,B-Game
2025,11,judkiq1,Quinshon Judkins,RB,CLE,BAL,20.1,26,13.0,0.0,0.0,0.0,0.0,0.0,18.8,75.8,0.6,1.9,10.8,0.0,0.0,3.8,0.5,0.2,0.0,0.0,B-Game
2025,11,harver1,RJ Harvey,RB,DEN,KC,14.0,6,12.9,0.0,0.0,0.0,0.0,0.0,18.2,67.6,0.4,2.5,17.4,0.2,0.0,3.4,0.8,0.1,0.0,0.0,B-Game
2025,11,jonesa2,Aaron Jones,RB,MIN,CHI,19.3,23,12.9,0.0,0.0,0.0,0.0,0.0,13.0,56.2,0.5,2.7,20.3,0.2,0.0,2.8,0.9,0.1,0.0,0.0,B-Game
2025,11,marksw1,Woody Marks,RB,HOU,@TEN,23.4,30,12.9,0.0,0.0,0.0,0.0,0.0,15.0,63.4,0.4,1.8,19.3,0.2,0.0,3.2,0.9,0.1,0.0,0.0,B-Game
2025,11,hallb1,Breece Hall,RB,NYJ,@NE,11.6,3,12.7,0.0,0.0,0.0,0.0,0.0,16.9,68.7,0.3,2.5,24.6,0.1,0.0,3.4,1.1,0.2,0.0,0.0,B-Game
2025,11,etient1,Travis Etienne,RB,JAX,LAC,16.4,12,12.5,0.0,0.0,0.0,0.0,0.0,14.3,67.0,0.3,2.7,19.0,0.1,0.0,3.4,0.9,0.1,0.0,0.0,B-Game
2025,11,swiftd1,D'Andre Swift,RB,CHI,@MIN,15.4,9,12.1,0.0,0.0,0.0,0.0,0.0,12.7,61.3,0.3,2.9,23.4,0.1,0.0,3.1,1.1,0.1,0.0,0.0,B-Game
2025,11,whiter5,Rachaad White,RB,TB,@BUF,22.0,28,11.3,0.0,0.0,0.0,0.0,0.0,12.9,47.4,0.4,3.5,17.8,0.1,0.0,2.4,0.8,0.1,0.0,0.0,B-Game
2025,11,vidalk1,Kimani Vidal,RB,LAC,@JAX,15.4,8,10.3,0.0,0.0,0.0,0.0,0.0,13.6,62.1,0.3,1.5,8.8,0.1,0.0,3.1,0.4,0.1,0.0,0.0,C-Game
2025,11,tracyt1,Tyrone Tracy,RB,NYG,GB,13.1,5,10.0,0.0,0.0,0.0,0.0,0.0,12.4,50.4,0.4,2.2,12.9,0.1,0.0,2.5,0.6,0.1,0.0,0.0,C-Game
2025,11,demere1,Emari Demercado,RB,ARI,SF,18.2,20,10.0,0.0,0.0,0.0,0.0,0.0,7.9,54.2,0.3,2.2,16.0,0.1,0.0,2.7,0.7,0.1,0.0,0.0,C-Game
2025,11,huntk1,Kareem Hunt,RB,KC,@DEN,16.6,13,8.8,0.0,0.0,0.0,0.0,0.0,10.7,39.8,0.5,1.2,9.0,0.1,0.0,2.0,0.4,0.1,0.0,0.0,C-Game
2025,11,speart1,Tyjae Spears,RB,TEN,HOU,15.6,10,8.4,0.0,0.0,0.0,0.0,0.0,10.8,36.9,0.3,2.5,19.2,0.0,0.0,1.8,0.9,0.1,0.0,0.0,C-Game
2025,11,pollat1,Tony Pollard,RB,TEN,HOU,15.6,10,7.8,0.0,0.0,0.0,0.0,0.0,11.0,38.1,0.3,2.1,15.4,0.0,0.0,1.9,0.7,0.1,0.0,0.0,C-Game
2025,11,charbz1,Zach Charbonnet,RB,SEA,@LAR,10.3,1,7.7,0.0,0.0,0.0,0.0,0.0,9.3,37.1,0.4,1.1,7.5,0.1,0.0,1.9,0.3,0.1,0.0,0.0,C-Game
2025,11,masonj1,Jordan Mason,RB,MIN,CHI,19.3,23,7.7,0.0,0.0,0.0,0.0,0.0,5.9,27.2,0.7,0.8,5.4,0.0,0.0,1.4,0.2,0.0,0.0,0.0,C-Game
2025,11,montgd1,David Montgomery,RB,DET,@PHI,19.5,24,7.6,0.0,0.0,0.0,0.0,0.0,8.9,35.9,0.3,1.5,10.9,0.1,0.0,1.8,0.5,0.1,0.0,0.0,C-Game
2025,11,allget1,Tyler Allgeier,RB,ATL,CAR,17.0,14,7.6,0.0,0.0,0.0,0.0,0.0,7.8,34.5,0.6,0.6,2.3,0.0,0.0,1.7,0.1,0.1,0.0,0.0,C-Game
2025,11,walkek1,Kenneth Walker,RB,SEA,@LAR,10.3,1,7.5,0.0,0.0,0.0,0.0,0.0,10.1,42.5,0.2,1.3,10.0,0.1,0.0,2.1,0.5,0.1,0.0,0.0,C-Game
2025,11,chubbn1,Nick Chubb,RB,HOU,@TEN,23.4,30,7.4,0.0,0.0,0.0,0.0,0.0,9.3,38.8,0.4,1.2,5.7,0.0,0.0,1.9,0.3,0.1,0.0,0.0,C-Game
2025,11,monank1,Kyle Monangai,RB,CHI,@MIN,15.4,9,7.3,0.0,0.0,0.0,0.0,0.0,8.9,38.9,0.3,1.2,11.2,0.0,0.0,1.9,0.5,0.1,0.0,0.0,C-Game
2025,11,croskj1,Jacory Croskey-Merritt,RB,WAS,@MIA,17.4,17,6.9,0.0,0.0,0.0,0.0,0.0,11.7,46.7,0.2,0.8,6.0,0.0,0.0,2.3,0.3,0.1,0.0,0.0,C-Game
2025,11,tutenb1,Bhayshul Tuten,RB,JAX,LAC,16.4,12,6.8,0.0,0.0,0.0,0.0,0.0,6.2,25.5,0.4,1.4,8.4,0.1,0.0,1.3,0.4,0.1,0.0,0.0,C-Game
2025,11,cartem2,Michael Carter,RB,ARI,SF,18.2,20,6.8,0.0,0.0,0.0,0.0,0.0,10.9,29.6,0.2,1.7,14.9,0.0,0.0,1.5,0.7,0.1,0.0,0.0,C-Game
2025,11,gainwk1,Kenneth Gainwell,RB,PIT,CIN,28.6,32,6.7,0.0,0.0,0.0,0.0,0.0,4.6,17.0,0.3,3.0,15.0,0.0,0.0,0.9,0.7,0.0,0.0,0.0,C-Game
2025,11,singld1,Devin Singletary,RB,NYG,GB,13.1,5,6.7,0.0,0.0,0.0,0.0,0.0,8.5,30.3,0.2,1.9,11.7,0.0,0.0,1.5,0.5,0.1,0.0,0.0,C-Game
2025,11,rodric1,Chris Rodriguez,RB,WAS,@MIA,17.4,17,6.4,0.0,0.0,0.0,0.0,0.0,7.4,37.0,0.5,0.0,0.0,0.0,0.0,1.9,0.0,0.1,0.0,0.0,C-Game
2025,11,mcnicj1,Jeremy McNichols,RB,WAS,@MIA,17.4,17,6.2,0.0,0.0,0.0,0.0,0.0,3.9,23.0,0.0,2.1,23.0,0.1,0.0,1.2,1.0,0.0,0.0,0.0,C-Game
2025,11,badiet1,Tyler Badie,RB,DEN,KC,14.0,6,6.1,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.1,2.2,15.2,0.1,0.0,1.1,0.7,0.0,0.0,0.0,C-Game
