week,season,sleeper_id,name,team,pos,proj,opp,stats
1,2025,4034,Dak Prescott,DAL,QB,18.5,CLE,"{""passing_yards"": 285, ""passing_tds"": 2, ""rushing_yards"": 25, ""rushing_tds"": 0}"
1,2025,4035,Ezekiel Elliott,DAL,RB,12.8,CLE,"{""rushing_yards"": 85, ""rushing_tds"": 1, ""receiving_yards"": 23, ""receiving_tds"": 0}"
1,2025,4039,CeeDee Lamb,DAL,WR,16.2,CLE,"{""receiving_yards"": 95, ""receiving_tds"": 1, ""rushing_yards"": 8, ""rushing_tds"": 0}"
1,2025,4040,Amari Cooper,CLE,WR,14.8,DAL,"{""receiving_yards"": 78, ""receiving_tds"": 1, ""rushing_yards"": 5, ""rushing_tds"": 0}"
1,2025,4046,Nick Chubb,CLE,RB,15.6,DAL,"{""rushing_yards"": 95, ""rushing_tds"": 1, ""receiving_yards"": 31, ""receiving_tds"": 0}"
1,2025,6794,Josh Allen,BUF,QB,22.4,ARI,"{""passing_yards"": 295, ""passing_tds"": 2, ""rushing_yards"": 45, ""rushing_tds"": 1}"
1,2025,6945,Stefon Diggs,HOU,WR,17.1,IND,"{""receiving_yards"": 88, ""receiving_tds"": 1, ""rushing_yards"": 3, ""rushing_tds"": 0}"
1,2025,7564,Justin Jefferson,MIN,WR,19.8,NYG,"{""receiving_yards"": 105, ""receiving_tds"": 1, ""rushing_yards"": 12, ""rushing_tds"": 0}"
1,2025,8110,Cooper Kupp,LAR,WR,16.9,DET,"{""receiving_yards"": 92, ""receiving_tds"": 1, ""rushing_yards"": 6, ""rushing_tds"": 0}"
1,2025,8111,Aaron Donald,LAR,DL,8.2,DET,"{""tackles"": 6, ""sacks"": 1, ""tfl"": 2, ""qb_hits"": 3}"
1,2025,9226,Derrick Henry,BAL,RB,17.3,KC,"{""rushing_yards"": 105, ""rushing_tds"": 1, ""receiving_yards"": 18, ""receiving_tds"": 0}"
1,2025,9234,Travis Kelce,KC,TE,14.6,BAL,"{""receiving_yards"": 75, ""receiving_tds"": 1, ""rushing_yards"": 2, ""rushing_tds"": 0}"
1,2025,9238,Tyreek Hill,MIA,WR,18.7,JAX,"{""receiving_yards"": 98, ""receiving_tds"": 1, ""rushing_yards"": 15, ""rushing_tds"": 0}"
1,2025,10859,Ja'Marr Chase,CIN,WR,17.8,NE,"{""receiving_yards"": 95, ""receiving_tds"": 1, ""rushing_yards"": 8, ""rushing_tds"": 0}"
1,2025,10863,Tee Higgins,CIN,WR,13.9,NE,"{""receiving_yards"": 68, ""receiving_tds"": 1, ""rushing_yards"": 3, ""rushing_tds"": 0}"
