sleeper_id,name,team,pos,opp,proj,pass_comp,pass_att,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,two_pt,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,sacks,defs_int,defs_fum_rec,defs_td,safety,blk_kick,ret_td,pts_allowed
allenj3,Josh Allen,BUF,QB,TB,21.3,21.2,33.2,246.3,1.7,0.7,6.2,32,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayed1,Drake Maye,NE,QB,NYJ,20.6,20.3,28.5,238.8,2,0.5,4.5,27.9,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hurtsj1,Jalen Hurts,PHI,QB,DET,20.2,18.1,26.6,204.5,1.8,0.5,7.3,30.7,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herbej1,Justin Herbert,LAC,QB,@JAX,20.2,23.2,35.1,251.1,1.9,0.6,6,34.6,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksl1,Lamar Jackson,BAL,QB,@CLE,19.6,17.8,26,207.3,1.7,0.5,7.1,43.8,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mahomp1,Patrick Mahomes,KC,QB,@DEN,19.1,23.9,36.1,258.3,1.7,0.7,5.4,30.2,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prescd1,Dak Prescott,DAL,QB,@LV,18.1,24,37.1,264.9,1.8,0.7,2.4,10.3,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staffm1,Matthew Stafford,LAR,QB,SEA,17.7,23.7,35.5,261.7,2.2,0.7,0.7,2.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willic6,Caleb Williams,CHI,QB,@MIN,17.6,20.5,32.5,223,1.6,0.6,4.1,27,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flaccj1,Joe Flacco,CIN,QB,@PIT,16.7,25.6,39.2,260,1.9,0.8,1.3,3.7,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayfib1,Baker Mayfield,TB,QB,@BUF,16.7,22.8,35.2,237.4,1.7,0.8,3.2,19.1,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lovej1,Jordan Love,GB,QB,@NYG,16.5,20.9,31.1,234,1.7,0.6,3.5,14.7,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brissj1,Jacoby Brissett,ARI,QB,SF,16.4,21.8,34.5,213.4,1.7,0.7,5.5,20.1,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mccarj2,J.J. McCarthy,MIN,QB,CHI,16.4,21.7,33.4,214,1.5,1,5.9,29.6,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mariom1,Marcus Mariota,WAS,QB,@MIA,16.1,18.3,27.3,199.6,1.4,0.7,4.4,27.2,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rodgea1,Aaron Rodgers,PIT,QB,CIN,16.1,22.7,32.1,230.3,2,0.6,0.8,2.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darnos1,Sam Darnold,SEA,QB,@LAR,15.9,20.5,30,248.9,1.7,0.7,2.4,7.8,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smithg1,Geno Smith,LV,QB,DAL,15.8,21.9,33.3,248.9,1.6,0.7,2.5,10.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagovt1,Tua Tagovailoa,MIA,QB,WAS,15.8,22,31.5,231.8,2,0.9,1.8,5.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nixb1,Bo Nix,DEN,QB,KC,15.5,22,34.3,217.1,1.4,0.8,4.6,20.9,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonesm5,Mac Jones,SF,QB,@ARI,15.2,24.4,36.7,241.4,1.7,0.8,1.5,5.2,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goffj1,Jared Goff,DET,QB,@PHI,15.1,21.9,33.6,242.9,1.7,0.6,0.9,2.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millsd1,Davis Mills,HOU,QB,@TEN,15,20.9,32.9,227.4,1.5,0.6,1.7,7.1,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penixm1,Michael Penix Jr.,ATL,QB,CAR,14.9,19.6,32.2,225.6,1.5,0.6,2.7,8.1,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawret1,Trevor Lawrence,JAX,QB,LAC,14.3,19.8,32.2,210.6,1.2,0.8,3.2,14.8,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
winstj1,Jameis Winston,NYG,QB,GB,12.9,21.2,34.7,234.3,1.2,1,3.4,11,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fieldj1,Justin Fields,NYJ,QB,@NE,12.8,15.6,27.4,164,0.7,0.9,7.8,35.6,0.4,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
youngb1,Bryce Young,CAR,QB,@ATL,11.4,17.4,29.5,188.3,1,0.7,1.8,8.9,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gabrid1,Dillon Gabriel,CLE,QB,BAL,11.3,19.3,31.7,196.4,1,0.8,2.7,14,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wardc1,Cam Ward,TEN,QB,HOU,10.9,18.3,29.6,191.9,1,0.8,1.4,5.8,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mccafc1,Christian McCaffrey,SF,RB,@ARI,22.9,0,0,0,0,0,16.9,68.9,0.7,6.5,64,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
achand1,De'Von Achane,MIA,RB,WAS,22.4,0,0,0,0,0,18.4,92.1,0.7,5.6,38.2,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robinb2,Bijan Robinson,ATL,RB,CAR,18.9,0,0,0,0,0,16.6,82.7,0.2,4.7,53,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacobj1,Josh Jacobs,GB,RB,@NYG,18.1,0,0,0,0,0,17.8,78.9,0.9,3,25.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeanta1,Ashton Jeanty,LV,RB,DAL,17,0,0,0,0,0,18.5,67.1,0.8,3.5,31.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibbsj1,Jahmyr Gibbs,DET,RB,@PHI,16.7,0,0,0,0,0,15.8,82.3,0.5,3.4,24.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
